Dlugosc-slowa;procent-zmienionych-bitow
10;51.5625
10;50.0
10;54.6875
10;55.859375
10;47.265625
10;47.65625
10;52.734375
10;49.21875
10;49.609375
10;51.171875
10;50.390625
10;50.78125
10;50.0
10;51.171875
10;49.21875
10;46.875
10;55.078125
10;49.21875
10;46.484375
10;48.828125
10;50.0
10;47.65625
10;47.265625
10;48.046875
10;47.265625
10;46.484375
10;52.734375
10;51.953125
10;48.046875
10;51.171875
10;48.828125
10;50.0
10;55.078125
10;49.609375
10;55.859375
10;51.953125
10;51.5625
10;53.515625
10;51.953125
10;52.734375
10;51.171875
10;47.65625
10;49.21875
10;53.515625
10;51.171875
10;49.21875
10;51.953125
10;54.6875
10;46.484375
10;53.515625
10;47.265625
10;50.78125
10;48.828125
10;46.09375
10;52.34375
10;45.703125
10;50.390625
10;48.4375
10;46.875
10;47.65625
10;46.09375
10;46.484375
10;53.90625
10;46.09375
10;50.0
10;47.265625
10;49.21875
10;51.171875
10;51.953125
10;46.875
10;49.21875
10;46.484375
10;53.515625
10;55.46875
10;48.828125
10;47.265625
10;50.78125
10;49.609375
10;46.484375
10;48.4375
10;47.65625
10;48.828125
10;48.046875
10;48.046875
10;51.5625
10;53.515625
10;51.171875
10;48.828125
10;50.78125
10;48.046875
10;50.390625
10;55.859375
10;47.65625
10;50.0
10;49.609375
10;57.03125
10;49.21875
10;51.171875
10;48.046875
10;50.78125
100;50.78125
100;52.734375
100;44.53125
100;49.21875
100;50.78125
100;49.21875
100;54.6875
100;47.265625
100;42.1875
100;50.0
100;52.34375
100;48.828125
100;50.0
100;53.125
100;49.609375
100;48.828125
100;48.4375
100;53.90625
100;53.90625
100;49.21875
100;51.5625
100;44.921875
100;49.21875
100;51.5625
100;48.4375
100;45.703125
100;51.171875
100;46.875
100;51.171875
100;51.953125
100;52.734375
100;46.875
100;44.921875
100;49.21875
100;48.046875
100;51.171875
100;51.171875
100;55.078125
100;54.296875
100;49.21875
100;47.65625
100;45.703125
100;52.34375
100;51.171875
100;46.484375
100;48.828125
100;51.953125
100;51.171875
100;51.953125
100;47.65625
100;49.21875
100;53.515625
100;52.34375
100;52.734375
100;49.21875
100;50.78125
100;50.0
100;53.90625
100;48.4375
100;48.046875
100;49.21875
100;52.734375
100;49.609375
100;54.296875
100;51.171875
100;50.390625
100;52.34375
100;50.78125
100;52.34375
100;44.921875
100;47.265625
100;54.6875
100;53.125
100;46.09375
100;51.953125
100;46.484375
100;48.046875
100;50.78125
100;48.4375
100;54.6875
100;46.09375
100;50.0
100;41.796875
100;51.171875
100;50.390625
100;49.609375
100;45.3125
100;49.609375
100;50.78125
100;47.65625
100;50.78125
100;53.125
100;48.828125
100;47.265625
100;50.0
100;56.640625
100;48.828125
100;49.21875
100;55.859375
100;50.78125
1000;48.828125
1000;46.09375
1000;52.34375
1000;51.171875
1000;53.90625
1000;48.4375
1000;50.78125
1000;55.078125
1000;56.640625
1000;57.03125
1000;46.09375
1000;52.734375
1000;47.65625
1000;48.046875
1000;41.40625
1000;53.515625
1000;53.90625
1000;51.953125
1000;46.484375
1000;46.875
1000;45.703125
1000;47.65625
1000;47.65625
1000;51.5625
1000;50.390625
1000;48.828125
1000;45.703125
1000;49.21875
1000;44.140625
1000;50.78125
1000;51.953125
1000;48.4375
1000;55.859375
1000;51.953125
1000;53.515625
1000;49.609375
1000;54.6875
1000;53.90625
1000;54.6875
1000;53.125
1000;49.21875
1000;51.5625
1000;51.953125
1000;48.828125
1000;52.34375
1000;49.609375
1000;48.828125
1000;48.046875
1000;50.390625
1000;55.078125
1000;50.78125
1000;54.296875
1000;53.90625
1000;50.390625
1000;51.5625
1000;50.0
1000;49.609375
1000;48.046875
1000;44.140625
1000;51.953125
1000;45.3125
1000;47.265625
1000;48.828125
1000;54.6875
1000;51.171875
1000;46.875
1000;52.34375
1000;56.640625
1000;51.5625
1000;47.65625
1000;54.296875
1000;50.78125
1000;51.171875
1000;50.0
1000;52.34375
1000;46.484375
1000;52.734375
1000;51.171875
1000;49.21875
1000;48.046875
1000;47.265625
1000;52.734375
1000;46.484375
1000;50.0
1000;59.375
1000;45.3125
1000;46.09375
1000;50.78125
1000;49.21875
1000;50.390625
1000;51.171875
1000;46.09375
1000;45.703125
1000;53.125
1000;48.828125
1000;53.125
1000;53.125
1000;51.171875
1000;49.21875
1000;51.171875
10000;46.09375
10000;48.4375
10000;49.21875
10000;46.09375
10000;44.140625
10000;48.046875
10000;45.3125
10000;53.90625
10000;50.78125
10000;45.703125
10000;50.0
10000;45.703125
10000;57.8125
10000;50.0
10000;44.921875
10000;49.21875
10000;52.734375
10000;46.875
10000;49.21875
10000;52.734375
10000;48.046875
10000;49.21875
10000;48.828125
10000;45.3125
10000;54.6875
10000;57.03125
10000;51.953125
10000;49.21875
10000;53.515625
10000;58.203125
10000;49.21875
10000;47.265625
10000;54.6875
10000;47.265625
10000;50.390625
10000;54.6875
10000;54.6875
10000;46.875
10000;44.921875
10000;47.65625
10000;48.046875
10000;57.03125
10000;51.5625
10000;53.125
10000;50.0
10000;44.921875
10000;46.484375
10000;50.78125
10000;49.21875
10000;53.125
10000;48.4375
10000;49.609375
10000;50.78125
10000;49.21875
10000;57.8125
10000;55.078125
10000;47.265625
10000;53.90625
10000;51.171875
10000;50.390625
10000;52.734375
10000;50.78125
10000;52.734375
10000;48.046875
10000;51.5625
10000;49.609375
10000;51.953125
10000;52.734375
10000;44.921875
10000;49.609375
10000;46.875
10000;50.78125
10000;46.875
10000;46.484375
10000;52.734375
10000;49.21875
10000;44.140625
10000;52.734375
10000;53.90625
10000;52.734375
10000;50.78125
10000;49.21875
10000;51.953125
10000;51.953125
10000;48.828125
10000;44.921875
10000;42.1875
10000;49.609375
10000;48.046875
10000;48.4375
10000;56.25
10000;51.171875
10000;47.65625
10000;51.5625
10000;49.21875
10000;47.65625
10000;51.953125
10000;53.515625
10000;51.953125
10000;52.734375
100000;44.53125
100000;46.875
100000;51.5625
100000;46.484375
100000;54.296875
100000;55.078125
100000;49.609375
100000;51.171875
100000;51.5625
100000;49.609375
100000;48.828125
100000;46.484375
100000;55.46875
100000;54.6875
100000;50.0
100000;46.875
100000;49.21875
100000;46.09375
100000;52.734375
100000;46.875
100000;46.484375
100000;47.65625
100000;49.21875
100000;51.953125
100000;46.484375
100000;45.3125
100000;50.0
100000;48.4375
100000;51.171875
100000;48.4375
100000;47.265625
100000;50.390625
100000;51.953125
100000;51.5625
100000;49.609375
100000;53.125
100000;44.140625
100000;50.390625
100000;54.296875
100000;50.390625
100000;50.390625
100000;53.515625
100000;50.390625
100000;47.65625
100000;48.046875
100000;52.34375
100000;55.078125
100000;42.1875
100000;60.546875
100000;52.34375
100000;47.265625
100000;48.828125
100000;46.484375
100000;48.4375
100000;52.734375
100000;49.609375
100000;48.046875
100000;44.140625
100000;45.3125
100000;46.09375
100000;47.65625
100000;42.96875
100000;48.046875
100000;53.90625
100000;48.828125
100000;50.78125
100000;50.78125
100000;51.5625
100000;54.6875
100000;51.171875
100000;51.953125
100000;53.515625
100000;55.46875
100000;55.078125
100000;46.875
100000;48.046875
100000;54.6875
100000;52.734375
100000;50.0
100000;48.046875
100000;48.4375
100000;50.78125
100000;52.734375
100000;51.953125
100000;46.875
100000;47.265625
100000;54.6875
100000;55.859375
100000;50.78125
100000;51.953125
100000;49.609375
100000;48.046875
100000;48.046875
100000;51.5625
100000;51.953125
100000;51.5625
100000;53.125
100000;49.21875
100000;54.6875
100000;50.390625
