Dlugosc-slowa;Czas-SHA2-224;Czas-SHA2-256;Czas-SHA2-384;Czas-SHA2-512
100000;1,55E-04;1,53E-04;3,21E-04;3,15E-04
200000;2,05E-04;2,06E-04;4,28E-04;4,27E-04
300000;1,90E-04;1,89E-04;3,97E-04;3,95E-04
400000;2,52E-04;2,52E-04;5,29E-04;5,24E-04
500000;3,15E-04;3,14E-04;6,57E-04;6,55E-04

