Dlugosc-slowa,Proby-do-kolizji
10;16
10;75
10;92
10;58
10;72
10;43
10;76
10;86
10;54
10;105
10;107
10;142
10;81
10;112
10;66
10;47
10;161
10;112
10;82
10;28
10;62
10;170
10;151
10;114
10;105
10;39
10;64
10;80
10;32
10;146
10;63
10;8
10;45
10;142
10;21
10;68
10;107
10;119
10;95
10;166
10;83
10;119
10;92
10;78
10;130
10;120
10;14
10;59
10;63
10;89
10;86
10;27
10;126
10;60
10;76
10;37
10;63
10;36
10;90
10;68
10;58
10;59
10;58
10;55
10;139
10;125
10;45
10;129
10;49
10;138
10;22
10;121
10;36
10;117
10;58
10;65
10;159
10;27
10;64
10;25
10;100
10;155
10;106
10;83
10;49
10;33
10;154
10;73
10;128
10;90
10;107
10;132
10;74
10;57
10;43
10;78
10;77
10;38
10;22
10;59
100;85
100;4
100;100
100;89
100;129
100;18
100;71
100;156
100;92
100;150
100;170
100;141
100;10
100;126
100;141
100;70
100;135
100;47
100;105
100;64
100;67
100;39
100;60
100;18
100;51
100;48
100;23
100;142
100;170
100;7
100;86
100;189
100;178
100;104
100;99
100;48
100;86
100;108
100;43
100;59
100;82
100;130
100;73
100;74
100;99
100;109
100;115
100;152
100;179
100;50
100;109
100;89
100;39
100;27
100;26
100;26
100;53
100;125
100;21
100;114
100;115
100;78
100;65
100;107
100;45
100;55
100;130
100;88
100;76
100;59
100;175
100;50
100;37
100;23
100;106
100;39
100;95
100;60
100;29
100;10
100;111
100;36
100;199
100;23
100;159
100;117
100;37
100;68
100;14
100;10
100;50
100;142
100;115
100;74
100;72
100;52
100;15
100;61
100;78
100;119
1000;46
1000;59
1000;45
1000;54
1000;77
1000;31
1000;94
1000;65
1000;59
1000;50
1000;56
1000;4
1000;82
1000;108
1000;114
1000;122
1000;102
1000;59
1000;86
1000;141
1000;43
1000;74
1000;32
1000;53
1000;15
1000;54
1000;73
1000;23
1000;120
1000;74
1000;33
1000;139
1000;32
1000;117
1000;77
1000;113
1000;112
1000;61
1000;88
1000;59
1000;104
1000;80
1000;107
1000;107
1000;80
1000;146
1000;134
1000;81
1000;22
1000;131
1000;81
1000;140
1000;55
1000;50
1000;51
1000;140
1000;52
1000;40
1000;31
1000;42
1000;50
1000;142
1000;63
1000;72
1000;91
1000;87
1000;138
1000;87
1000;78
1000;8
1000;53
1000;23
1000;32
1000;80
1000;89
1000;27
1000;56
1000;208
1000;59
1000;121
1000;195
1000;74
1000;53
1000;47
1000;172
1000;107
1000;81
1000;21
1000;78
1000;100
1000;71
1000;69
1000;20
1000;37
1000;67
1000;60
1000;25
1000;116
1000;56
1000;85
10000;99
10000;68
10000;32
10000;97
10000;170
10000;90
10000;175
10000;51
10000;114
10000;113
10000;125
10000;63
10000;59
10000;92
10000;152
10000;60
10000;137
10000;6
10000;74
10000;76
10000;148
10000;58
10000;45
10000;83
10000;100
10000;47
10000;110
10000;40
10000;92
10000;106
10000;86
10000;54
10000;83
10000;30
10000;142
10000;102
10000;113
10000;59
10000;101
10000;98
10000;94
10000;118
10000;68
10000;63
10000;42
10000;41
10000;81
10000;41
10000;76
10000;91
10000;45
10000;90
10000;49
10000;39
10000;32
10000;103
10000;15
10000;152
10000;74
10000;60
10000;59
10000;79
10000;137
10000;83
10000;146
10000;93
10000;34
10000;99
10000;108
10000;46
10000;77
10000;78
10000;56
10000;97
10000;198
10000;38
10000;68
10000;53
10000;92
10000;117
10000;80
10000;95
10000;18
10000;66
10000;113
10000;83
10000;41
10000;99
10000;47
10000;47
10000;66
10000;107
10000;102
10000;90
10000;125
10000;70
10000;74
10000;115
10000;165
10000;99
100000;98
100000;102
100000;130
100000;77
100000;124
100000;41
100000;18
100000;38
100000;33
100000;159
100000;79
100000;42
100000;71
100000;172
100000;115
100000;48
100000;125
100000;59
100000;47
100000;47
100000;151
100000;128
100000;178
100000;103
100000;36
100000;51
100000;23
100000;83
100000;104
100000;39
100000;66
100000;42
100000;74
100000;75
100000;118
100000;72
100000;162
100000;86
100000;75
100000;81
100000;22
100000;108
100000;66
100000;68
100000;42
100000;58
100000;64
100000;100
100000;114
100000;120
100000;113
100000;96
100000;38
100000;109
100000;42
100000;62
100000;41
100000;55
100000;83
100000;27
100000;68
100000;57
100000;83
100000;126
100000;93
100000;169
100000;144
100000;79
100000;78
100000;102
100000;107
100000;44
100000;109
100000;49
100000;76
100000;165
100000;186
100000;28
100000;100
100000;76
100000;43
100000;78
100000;18
100000;118
100000;55
100000;104
100000;50
100000;32
100000;79
100000;72
100000;94
100000;41
100000;36
100000;56
100000;121
100000;87
100000;21
100000;102
100000;29
100000;76
